accx,accy,accz
-0.1333,0.1448,1.0336
-0.1235,0.1487,1.0326
-0.1211,0.1458,1.036
-0.1104,0.1438,1.034
-0.1044,0.1463,1.0316
-0.0922,0.1394,1.0316
-0.0888,0.1443,1.0331
-0.0849,0.136,1.0228
-0.0825,0.1336,1.0169
-0.0815,0.1375,1.0106
-0.082,0.1389,1.0067
-0.0795,0.1399,0.9964
-0.0815,0.1448,0.9906
-0.0834,0.1438,0.9773
-0.0825,0.1472,0.9744
-0.0859,0.1531,0.9705
-0.0898,0.1638,0.9602
-0.0893,0.1653,0.9461
-0.0898,0.1692,0.9407
-0.0922,0.1673,0.9226
-0.0864,0.1658,0.9207
-0.0839,0.1629,0.9168
-0.0727,0.1638,0.9041
-0.0654,0.156,0.9051
-0.0585,0.1531,0.9104
-0.0551,0.1443,0.9119
-0.0424,0.138,0.9178
-0.041,0.1336,0.9256
-0.0351,0.1252,0.9397
-0.0331,0.1154,0.9471
-0.0307,0.1115,0.9573
-0.0288,0.1101,0.9646
-0.0268,0.1066,0.9788
-0.0248,0.1042,0.9916
-0.0331,0.1052,1.0057
-0.0341,0.1052,1.0106
-0.0278,0.1086,1.0292
-0.0336,0.1086,1.0379
-0.041,0.1096,1.0423
-0.0361,0.1159,1.0404
-0.0429,0.1213,1.0433
-0.0385,0.1188,1.0355
-0.0395,0.1203,1.0287
-0.0429,0.1267,1.016
-0.0405,0.1281,1.0043
-0.0361,0.1355,0.993
-0.039,0.136,0.9671
-0.0458,0.1477,0.948
-0.0463,0.1477,0.9383
-0.0532,0.158,0.9231
-0.061,0.1653,0.9119
-0.0707,0.1687,0.9007
-0.079,0.1785,0.8982
-0.0839,0.1834,0.8894
-0.0927,0.1843,0.8894
-0.0937,0.1868,0.888
-0.0937,0.1839,0.8885
-0.0991,0.1829,0.8958
-0.0898,0.1848,0.8948
-0.0917,0.1814,0.8958
-0.0937,0.1795,0.8938
-0.0883,0.177,0.8938
-0.0893,0.1736,0.8963
-0.0898,0.1746,0.8914
-0.0878,0.1746,0.8919
-0.0883,0.1736,0.8865
-0.0869,0.1746,0.8802
-0.0942,0.1839,0.8806
-0.0932,0.1912,0.8777
-0.1,0.1946,0.8787
-0.1059,0.1961,0.8743
-0.1133,0.2009,0.8708
-0.1221,0.2009,0.8679
-0.1421,0.2053,0.8596
-0.1489,0.2058,0.8567
-0.167,0.2156,0.8518
-0.1704,0.2224,0.8469
-0.1743,0.2293,0.8513
-0.1709,0.2332,0.8508
-0.1738,0.2351,0.8484
-0.1621,0.2317,0.8542
-0.1538,0.2298,0.8464
-0.1455,0.2298,0.8537
-0.1294,0.2229,0.8547
-0.1201,0.221,0.8567
-0.1079,0.2132,0.8523
-0.0966,0.2029,0.8444
-0.0874,0.197,0.842
-0.0751,0.1966,0.8405
-0.0624,0.1892,0.8322
-0.0595,0.1892,0.8293
-0.0571,0.1907,0.8186
-0.0581,0.1961,0.82
-0.0561,0.1975,0.8195
-0.0561,0.2005,0.8176
-0.0566,0.2014,0.8142
-0.0634,0.2107,0.8171
-0.0742,0.218,0.8264
-0.0805,0.2229,0.8293
-0.0893,0.2249,0.8298
-0.0913,0.2307,0.8293
-0.102,0.2327,0.8308
-0.1113,0.2381,0.8337
-0.1206,0.2459,0.8415
-0.1279,0.2523,0.842
-0.1343,0.2586,0.8376
-0.1392,0.264,0.8415
-0.1436,0.263,0.8435
-0.1392,0.2674,0.8376
-0.1299,0.2669,0.8352
-0.1275,0.2674,0.8386
-0.1206,0.2674,0.8391
-0.1099,0.266,0.844
-0.1,0.2616,0.8454
-0.083,0.2552,0.8601
-0.0747,0.2523,0.864
-0.0678,0.2479,0.8787
-0.0566,0.2406,0.8963
-0.0517,0.2376,0.9026
-0.0336,0.2278,0.9148
-0.0278,0.221,0.9222
-0.0258,0.221,0.9241
-0.0126,0.2141,0.9231
-0.0136,0.219,0.9182
-0.0087,0.2219,0.906
-0.0131,0.2273,0.9016
-0.0146,0.2391,0.8855
-0.0244,0.2518,0.8718
-0.0351,0.2655,0.8537
